CODIGO,ARTICULO / CATEGORIA,PRECIO,MAYORISTA
CAT,ACEITE Y CREMA,,
AC001,Aceite t2 10ml,"$9.000,00",
AC002,Aceite t3 10ml,"$10.400,00",
AC003,Aceite combinado 10ml,"$15.180,00",
AC004,Crema biorelajante,"$7.000,00",
AC005,Crema masajes 100ml,"$7.000,00",
AC006,Crema corporal 50ml,"$5.000,00",
AC007,Crema corporal 100ml,"$7.000,00",
AC008,Crema rostro 30ml,"$5.000,00",
CAT,ARMADORES,,
AR001,LRC 78mm,"$5.400,00","$4.320,00"
AR002,LRC 110mm,"$7.000,00","$5.600,00"
AR003,OCB acrilico,"$8.800,00","$7.040,00"
AR004,OCB metal,"$10.000,00","$8.000,00"
AR005,Raw hemp 70mm,"$5.000,00","$4.000,00"
AR006,Raw Hemp 79mm,"$6.000,00","$4.800,00"
AR007,Raw Hemp 110mm,"$7.200,00","$5.760,00"
AR008,Stamps 78mm metal,"$5.000,00","$4.000,00"
AR009,Smoking 78mm adjustable,"$5.600,00","$4.480,00"
AR010,Smoking 78mm,"$9.775,00","$7.820,00"
AR011,Smoking 78mm tubo,"$6.210,00","$4.968,00"
AR012,Tonking 78mm,"$4.000,00","$3.200,00"
AR013,Tuquero 420 Cono S,"$1.380,00","$1.104,00"
AR014,Tuquero 420 Cono M,"$1.840,00","$1.472,00"
AR015,Tuquero 420 Cono L,"$2.070,00","$1.656,00"
AR016,Zeus,"$4.000,00","$3.200,00"
CAT,BANDEJAS,,
BA001,Bulldog chico,"$3.105,00","$2.484,00"
BA002,Bulldog mediana,"$6.900,00","$5.520,00"
BA003,Honeypuff con corter para armar,"$6.000,00","$4.800,00"
BA004,Raw chico,"$5.750,00","$4.600,00"
BA005,Raw mediano mujer,"$8.050,00","$6.440,00"
BA006,Raw grande,"$9.315,00","$7.452,00"
BA007,Raw 28x18 Silver,"$15.000,00","$12.000,00"
BA008,LRC 18x14 Silver Edition,"$12.500,00","$10.000,00"
BA009,LRC chico,"$5.750,00","$4.600,00"
BA010,LRC Duki amarillo,"$5.750,00","$4.600,00"
BA011,LRC vidrio o cuarzo,"$14.260,00","$11.408,00"
BA012,3rayos chico,"$0,00","$0,00"
BA013,3rayos 28x18,"$5.400,00","$4.320,00"
BA014,Tuqueros 420,"$3.220,00","$2.576,00"
BA015,Smoking,"$8.510,00","$6.808,00"
BA016,Squadafum space,"$6.900,00","$5.520,00"
BA017,Zeus Cañamo,"$6.000,00","$4.800,00"
BA018,Zeus con tapa hojas,"$8.050,00","$6.440,00"
CAT,BLUNT,,
